TimeMS,Acc,qDot
0.0,8.281048306174878,-0.3654077677251887
0.001,8.284084368191674,703.803072693859
0.002,8.287121503963196,703.9231115974352
0.003,8.290159713839829,704.0431659581867
0.004,8.293198998172059,704.1632357752002
0.005,8.295714926111298,704.2610607216578
0.006,8.298756174838548,704.3811585042399
0.007,8.301798499012724,704.5012717404423
0.008,8.304841898984664,704.6214004293433
0.009,8.307361207661804,704.7192697610201
0.01,8.310406574472822,704.8394264082526
0.011,8.313453018073952,704.9595985055207
0.012,8.316500538816374,705.0797860518942
0.013,8.319549137051379,705.1999890464416
0.014,8.322072715667648,705.2979143893941
0.015,8.325123283827853,705.4181453330849
0.016,8.328174930474214,705.5383917222568
0.017,8.33122765595837,705.6586535559702
0.018,8.333754624672764,705.7566232355532
0.019,8.336809322531657,705.8769130110434
0.02,8.33986510022294,705.9972182283608
0.021,8.342921958098596,706.1175388865569
0.022,8.345452321056749,706.215552881076
0.023,8.348511153759105,706.3359014736254
0.024,8.351571067641418,706.4562655043161
0.025,8.354632063056043,706.5766449721929
0.026,8.357694140355365,706.6970398762958
0.027,8.360228790312169,706.7951097933907
0.028,8.363292845534295,706.9155326224223
0.029,8.366357983637982,707.035970884915
0.03,8.369424204976012,707.1564245799018
0.031,8.371962258565434,707.2545387624817
0.032,8.375030460283707,707.3750203748426
0.033,8.378099746234165,707.4955174169094
0.034,8.38117011676995,707.6160298877076
0.035,8.383711578150285,707.7141883136952
0.036,8.38678393152617,707.8347286942543
0.037,8.389857370486219,707.9552845007336
0.038,8.392931895383889,708.075855732149
0.039,8.396007506572772,708.1964423875162
0.04,8.398553272063452,708.2946566458069
0.041,8.40163086919853,708.4152712012728
0.042,8.404709553624919,708.5359011778502
0.043,8.40778932569654,708.6565465745456
0.044,8.410338508395643,708.7548050259251
0.045,8.413420268878822,708.875478314975
0.046,8.416503118008336,708.9961670212799
0.047,8.419587056138445,709.1168711438378
0.048,8.42213966021693,709.2151737658435
0.049,8.425225589226393,709.3359057729542
0.05,8.428312608238539,709.456653193431
0.051,8.431400717608016,709.577416026265
0.052,8.433956747240762,709.6757627963171
0.053,8.437046849959787,709.7965535058424
0.054,8.440138044039227,709.9173596248149
0.055,8.443230329834075,710.0381811522174
0.056,8.446323707699436,710.1590180870307
0.057,8.448884063879682,710.25742056903
0.058,8.451979438213723,710.3782853705583
0.059,8.45507590562258,710.4991655765568
0.06,8.45817346646171,710.6200611859986
0.061,8.460737257651129,710.71850776458
0.062,8.463836817434643,710.8394312327431
0.063,8.466937471653768,710.9603701013867
0.064,8.470039220664288,711.0813243694747
0.065,8.472606451050373,711.1798150216684
0.066,8.475710201483412,711.3007971404259
0.067,8.478815047714187,711.4217946556414
0.068,8.48192099009886,711.5428075662717
0.069,8.48502802899364,711.6638358712701
0.07,8.487599603159257,711.7623821414703
0.071,8.490708646605686,711.8834382869188
0.072,8.493818787569829,712.0045098237197
0.073,8.496930026408277,712.1255967508187
0.074,8.499505049254104,712.2241870422844
0.075,8.502618295127828,712.3453018016472
0.076,8.505732639884448,712.4664319482694
0.077,8.508848083880933,712.5875774810883
0.078,8.511426559607113,712.6862117704568
0.079,8.514544013124906,712.8073851272937
0.08,8.517662566892154,712.9285738672647
0.081,8.52078222126612,713.0497779892976
0.082,8.523902976604221,713.1709974923198
0.083,8.526485813394142,713.2696873041459
0.084,8.529608581392708,713.3909346207246
0.085,8.532732451366254,713.5121973151997
0.086,8.53585742367253,713.6334753864904
0.087,8.53844372285499,713.7322091429847
0.088,8.54157071031328,713.8535150194513
0.089,8.544698801116164,713.974836269618
0.09,8.547827995621711,714.0961728923936
0.091,8.550417761409513,714.1949505697994
0.092,8.553548973561076,714.3163149893119
0.093,8.556681290428152,714.437694778294
0.094,8.559814712369214,714.5590899356475
0.095,8.562407948979082,714.6579115100885
0.096,8.565543391062558,714.7793344556788
0.097,8.568679939233865,714.9007727664775
0.098,8.571817593851812,715.0222264413776
0.099,8.574956355275324,715.1436954792714
0.1,8.577553975611453,715.2425724488639
0.101,8.580694760329594,715.3640692642103
0.102,8.583836652868378,715.4855814393557
0.103,8.58697965358707,715.6071089731836
0.104,8.589580754294836,715.7060297854049
0.105,8.592725780810081,715.8275850880501
0.106,8.595871916521343,715.9491557461603
0.107,8.599019161788238,716.0707417586099
0.108,8.601623747096967,716.1697063891841
0.109,8.604773020664766,716.2913201617549
0.11,8.6079234048053,716.4129492854246
0.111,8.611074899878556,716.5345937590588
0.112,8.61422750624457,716.6562535815204
0.113,8.616836492684053,716.7552735079439
0.114,8.619991130513197,716.876961079495
0.115,8.623146880653476,716.9986639966029
0.116,8.62630374346531,717.1203822581227
0.117,8.628916224083936,717.2194459475895
0.118,8.632075120868757,717.3411919493664
0.119,8.635235131344496,717.4629532922596
0.12,8.638396255871948,717.584729975117
0.121,8.641012234911692,717.6838374029501
0.122,8.644175395924403,717.8056418171703
0.123,8.64733967200919,717.9274615680354
0.124,8.650505063527147,718.0492966543821
0.125,8.653124545233913,718.1484477957827
0.126,8.656291975751868,718.2703106045384
0.127,8.659460522724379,718.392188745433
0.128,8.662630186512926,718.5140822172962
0.129,8.665800967479091,718.6359910189553
0.13,8.668424873136283,718.7351973239571
0.131,8.671597696277768,718.8571338366669
0.132,8.674771637619513,718.9790856757994
0.133,8.677946697523417,719.1010528401722
