ALT-KM,T-DEG-K,T-DEG-C
119.200000000000,146.700000000000,-126.450000000000
118.500000000000,130.300000000000,-142.850000000000
115.800000000000,151.000000000000,-122.150000000000
113.100000000000,154.900000000000,-118.250000000000
110.400000000000,158.000000000000,-115.150000000000
107.700000000000,184.800000000000,-88.350000000000
105.000000000000,180.900000000000,-92.250000000000
102.300000000000,182.100000000000,-91.050000000000
99.600000000000,175.800000000000,-97.350000000000
97.600000000000,171.800000000000,-101.350000000000
96.900000000000,148.200000000000,-124.950000000000
94.200000000000,160.300000000000,-112.850000000000
91.500000000000,166.900000000000,-106.250000000000
88.800000000000,183.700000000000,-89.450000000000
86.200000000000,178.600000000000,-94.550000000000
85.600000000000,192.100000000000,-81.050000000000
84.300000000000,194.300000000000,-78.850000000000
83.600000000000,195.000000000000,-78.150000000000
83.000000000000,201.800000000000,-71.350000000000
82.300000000000,202.600000000000,-70.550000000000
81.800000000000,208.500000000000,-64.650000000000
80.600000000000,209.600000000000,-63.550000000000
79.900000000000,207.300000000000,-65.850000000000
79.400000000000,210.200000000000,-62.950000000000
78.200000000000,212.500000000000,-60.650000000000
77.600000000000,214.700000000000,-58.450000000000
77.100000000000,215.700000000000,-57.450000000000
76.100000000000,221.400000000000,-51.750000000000
75.500000000000,225.100000000000,-48.050000000000
75.100000000000,228.300000000000,-44.850000000000
74.200000000000,234.000000000000,-39.150000000000
73.700000000000,234.400000000000,-38.750000000000
73.300000000000,236.200000000000,-36.950000000000
72.500000000000,236.500000000000,-36.650000000000
72.100000000000,235.600000000000,-37.550000000000
71.800000000000,236.700000000000,-36.450000000000
71.100000000000,234.900000000000,-38.250000000000
70.800000000000,235.100000000000,-38.050000000000
70.500000000000,237.100000000000,-36.050000000000
69.700000000000,236.400000000000,-36.750000000000
68.800000000000,243.700000000000,-29.450000000000
68.000000000000,239.200000000000,-33.950000000000
67.400000000000,235.000000000000,-38.150000000000
67.300000000000,234.300000000000,-38.850000000000
66.800000000000,227.200000000000,-45.950000000000
66.400000000000,219.400000000000,-53.750000000000
66.000000000000,220.700000000000,-52.450000000000
137.100000000000,151.200000000000,-121.950000000000
135.200000000000,144.000000000000,-129.150000000000
133.300000000000,138.900000000000,-134.250000000000
131.400000000000,147.200000000000,-125.950000000000
129.500000000000,135.200000000000,-137.950000000000
127.600000000000,135.900000000000,-137.250000000000
125.700000000000,126.100000000000,-147.050000000000
123.800000000000,124.100000000000,-149.050000000000
121.900000000000,117.100000000000,-156.050000000000
120.000000000000,117.500000000000,-155.650000000000
118.100000000000,122.000000000000,-151.150000000000
116.200000000000,128.600000000000,-144.550000000000
114.300000000000,134.200000000000,-138.950000000000
112.400000000000,140.900000000000,-132.250000000000
110.500000000000,149.300000000000,-123.850000000000
108.600000000000,145.400000000000,-127.750000000000
106.700000000000,157.300000000000,-115.850000000000
104.800000000000,162.900000000000,-110.250000000000
102.900000000000,165.600000000000,-107.550000000000
101.000000000000,169.100000000000,-104.050000000000
99.100000000000,160.200000000000,-112.950000000000
97.200000000000,156.900000000000,-116.250000000000
95.300000000000,167.200000000000,-105.950000000000
93.400000000000,165.500000000000,-107.650000000000
91.600000000000,156.300000000000,-116.850000000000
89.700000000000,165.300000000000,-107.850000000000
87.900000000000,169.300000000000,-103.850000000000
86.000000000000,180.000000000000,-93.150000000000
84.300000000000,194.400000000000,-78.750000000000
82.500000000000,199.300000000000,-73.850000000000
80.900000000000,204.200000000000,-68.950000000000
79.300000000000,208.400000000000,-64.750000000000
77.900000000000,211.500000000000,-61.650000000000
76.600000000000,208.700000000000,-64.450000000000
75.500000000000,208.500000000000,-64.650000000000
74.400000000000,211.500000000000,-61.650000000000
73.600000000000,214.400000000000,-58.750000000000
72.800000000000,220.300000000000,-52.850000000000
72.100000000000,229.300000000000,-43.850000000000
71.500000000000,232.900000000000,-40.250000000000
128.300000000000,170.200000000000,-102.950000000000
127.000000000000,169.400000000000,-103.750000000000
125.800000000000,210.000000000000,-63.150000000000
124.600000000000,237.300000000000,-35.850000000000
123.400000000000,266.600000000000,-6.550000000000
122.200000000000,241.000000000000,-32.150000000000
121.000000000000,212.300000000000,-60.850000000000
119.800000000000,184.400000000000,-88.750000000000
118.600000000000,192.300000000000,-80.850000000000
117.400000000000,154.200000000000,-118.950000000000
116.200000000000,170.400000000000,-102.750000000000
115.000000000000,198.000000000000,-75.150000000000
113.800000000000,216.000000000000,-57.150000000000
112.600000000000,204.500000000000,-68.650000000000
111.400000000000,206.300000000000,-66.850000000000
110.200000000000,192.600000000000,-80.550000000000
109.000000000000,189.900000000000,-83.250000000000
107.900000000000,189.700000000000,-83.450000000000
106.700000000000,190.300000000000,-82.850000000000
105.500000000000,188.400000000000,-84.750000000000
104.300000000000,178.400000000000,-94.750000000000
103.100000000000,186.000000000000,-87.150000000000
101.900000000000,185.100000000000,-88.050000000000
100.700000000000,175.700000000000,-97.450000000000
99.500000000000,166.400000000000,-106.750000000000
98.300000000000,160.600000000000,-112.550000000000
97.100000000000,153.700000000000,-119.450000000000
95.900000000000,147.400000000000,-125.750000000000
94.800000000000,147.500000000000,-125.650000000000
93.600000000000,161.500000000000,-111.650000000000
92.400000000000,169.500000000000,-103.650000000000
91.200000000000,170.800000000000,-102.350000000000
90.100000000000,178.900000000000,-94.250000000000
88.900000000000,182.000000000000,-91.150000000000
87.800000000000,187.500000000000,-85.650000000000
86.700000000000,185.900000000000,-87.250000000000
85.600000000000,177.100000000000,-96.050000000000
84.500000000000,174.500000000000,-98.650000000000
83.400000000000,179.400000000000,-93.750000000000
82.400000000000,185.300000000000,-87.850000000000
81.500000000000,191.400000000000,-81.750000000000
81.000000000000,194.300000000000,-78.850000000000
80.100000000000,200.400000000000,-72.750000000000
79.300000000000,206.900000000000,-66.250000000000
78.500000000000,211.000000000000,-62.150000000000
77.700000000000,212.800000000000,-60.350000000000
77.000000000000,213.000000000000,-60.150000000000
76.400000000000,215.200000000000,-57.950000000000
75.800000000000,217.500000000000,-55.650000000000
75.300000000000,222.000000000000,-51.150000000000
74.800000000000,229.000000000000,-44.150000000000
74.400000000000,226.200000000000,-46.950000000000
74.000000000000,226.400000000000,-46.750000000000
73.600000000000,223.300000000000,-49.850000000000
73.300000000000,224.400000000000,-48.750000000000
72.900000000000,222.800000000000,-50.350000000000
72.600000000000,226.700000000000,-46.450000000000
72.400000000000,230.400000000000,-42.750000000000
