ALT-KM,P-BARS
119.200000000000,0.000000131000
118.500000000000,0.000000167000
115.800000000000,0.000000386000
113.100000000000,0.000000840000
110.400000000000,0.000001820000
107.700000000000,0.000003620000
105.000000000000,0.000006990000
102.300000000000,0.000013500000
99.600000000000,0.000026500000
97.600000000000,0.000042300000
96.900000000000,0.000052500000
94.200000000000,0.000115000000
91.500000000000,0.000241000000
88.800000000000,0.000473000000
86.200000000000,0.000949000000
85.600000000000,0.001090000000
84.300000000000,0.001470000000
83.600000000000,0.001740000000
83.000000000000,0.001970000000
82.300000000000,0.002310000000
81.800000000000,0.002600000000
80.600000000000,0.003380000000
79.900000000000,0.003930000000
79.400000000000,0.004380000000
78.200000000000,0.005600000000
77.600000000000,0.006400000000
77.100000000000,0.007060000000
76.100000000000,0.008760000000
75.500000000000,0.009820000000
75.100000000000,0.010700000000
74.200000000000,0.012800000000
73.700000000000,0.014100000000
73.300000000000,0.015100000000
72.500000000000,0.017500000000
72.100000000000,0.019000000000
71.800000000000,0.020200000000
71.100000000000,0.022900000000
70.800000000000,0.024500000000
70.500000000000,0.025700000000
69.700000000000,0.030300000000
68.800000000000,0.035900000000
68.000000000000,0.041400000000
67.400000000000,0.046700000000
67.300000000000,0.047800000000
66.800000000000,0.051900000000
66.400000000000,0.056900000000
66.000000000000,0.061600000000
137.100000000000,0.000000000246
135.200000000000,0.000000000399
133.300000000000,0.000000000683
131.400000000000,0.000000001160
129.500000000000,0.000000002040
127.600000000000,0.000000003660
125.700000000000,0.000000006830
123.800000000000,0.000000013100
121.900000000000,0.000000026000
120.000000000000,0.000000052900
118.100000000000,0.000000106000
116.200000000000,0.000000207000
114.300000000000,0.000000390000
112.400000000000,0.000000718000
110.500000000000,0.000001280000
108.600000000000,0.000002270000
106.700000000000,0.000003950000
104.800000000000,0.000006690000
102.900000000000,0.000011200000
101.000000000000,0.000018500000
99.100000000000,0.000031000000
97.200000000000,0.000053100000
95.300000000000,0.000089300000
93.400000000000,0.000148000000
91.600000000000,0.000252000000
89.700000000000,0.000423000000
87.900000000000,0.000697000000
86.000000000000,0.001120000000
84.300000000000,0.001710000000
82.500000000000,0.002530000000
80.900000000000,0.003660000000
79.300000000000,0.005130000000
77.900000000000,0.006980000000
76.600000000000,0.009230000000
75.500000000000,0.011900000000
74.400000000000,0.014800000000
73.600000000000,0.017800000000
72.800000000000,0.020900000000
72.100000000000,0.023900000000
71.500000000000,0.026800000000
128.300000000000,0.000000036300
127.000000000000,0.000000049500
125.800000000000,0.000000065000
124.600000000000,0.000000082000
123.400000000000,0.000000101000
122.200000000000,0.000000124000
121.000000000000,0.000000156000
119.800000000000,0.000000204000
118.600000000000,0.000000272000
117.400000000000,0.000000366000
116.200000000000,0.000000507000
115.000000000000,0.000000674000
113.800000000000,0.000000867000
112.600000000000,0.000001120000
111.400000000000,0.000001440000
110.200000000000,0.000001880000
109.000000000000,0.000002480000
107.900000000000,0.000003280000
106.700000000000,0.000004340000
105.500000000000,0.000005730000
104.300000000000,0.000007670000
103.100000000000,0.000010200000
101.900000000000,0.000013600000
100.700000000000,0.000018300000
99.500000000000,0.000024900000
98.300000000000,0.000034500000
97.100000000000,0.000048300000
95.900000000000,0.000068800000
94.800000000000,0.000098800000
93.600000000000,0.000139000000
92.400000000000,0.000191000000
91.200000000000,0.000260000000
90.100000000000,0.000349000000
88.900000000000,0.000465000000
87.800000000000,0.000613000000
86.700000000000,0.000803000000
85.600000000000,0.001060000000
84.500000000000,0.001400000000
83.400000000000,0.001820000000
82.400000000000,0.002340000000
81.500000000000,0.002960000000
81.000000000000,0.003300000000
80.100000000000,0.004050000000
79.300000000000,0.004880000000
78.500000000000,0.005790000000
77.700000000000,0.006770000000
77.000000000000,0.007830000000
76.400000000000,0.008940000000
75.800000000000,0.010100000000
75.300000000000,0.011200000000
74.800000000000,0.012400000000
74.400000000000,0.013500000000
74.000000000000,0.014700000000
73.600000000000,0.015800000000
73.300000000000,0.017000000000
72.900000000000,0.018100000000
72.600000000000,0.019200000000
72.400000000000,0.020200000000
72.100000000000,0.021200000000
71.900000000000,0.022200000000
71.700000000000,0.023100000000
71.500000000000,0.024000000000
71.300000000000,0.024900000000
71.100000000000,0.025800000000
70.900000000000,0.026700000000
70.800000000000,0.027500000000
70.600000000000,0.028300000000
70.500000000000,0.029100000000
170.000000000000,0.000000000002
166.000000000000,0.000000000003
162.000000000000,0.000000000004
158.000000000000,0.000000000007
154.000000000000,0.000000000012
150.000000000000,0.000000000021
146.000000000000,0.000000000040
142.000000000000,0.000000000085
61.262000000000,0.165000000000
60.395000000000,0.194800000000
59.550000000000,0.228100000000
58.835000000000,0.259900000000
58.119000000000,0.295100000000
57.439000000000,0.331800000000
56.768000000000,0.371500000000
56.204000000000,0.407600000000
55.564000000000,0.451800000000
55.053000000000,0.489700000000
54.424000000000,0.539700000000
53.929000000000,0.581800000000
53.368000000000,0.632400000000
52.914000000000,0.675900000000
52.373000000000,0.730700000000
51.886000000000,0.783000000000
51.424000000000,0.835100000000
50.968000000000,0.889200000000
50.505000000000,0.947000000000
50.106000000000,0.999100000000
49.659000000000,1.060000000000
49.233000000000,1.121000000000
48.824000000000,1.183000000000
48.684000000000,1.204000000000
48.278000000000,1.269000000000
47.876000000000,1.336000000000
47.525000000000,1.397000000000
47.147000000000,1.465000000000
46.763000000000,1.537000000000
46.393000000000,1.609000000000
46.056000000000,1.677000000000
45.698000000000,1.752000000000
45.366000000000,1.824000000000
45.040000000000,1.897000000000
44.725000000000,1.970000000000
44.405000000000,2.047000000000
