ALT-KM,RHO-KG-M3
119.200000000000,0.000000461000
118.500000000000,0.000000660000
115.800000000000,0.000001320000
113.100000000000,0.000002800000
110.400000000000,0.000005970000
107.700000000000,0.000010100000
105.000000000000,0.000020000000
102.300000000000,0.000038500000
99.600000000000,0.000078600000
97.600000000000,0.000128000000
96.900000000000,0.000185000000
94.200000000000,0.000373000000
91.500000000000,0.000752000000
88.800000000000,0.001340000000
86.200000000000,0.002770000000
85.600000000000,0.002960000000
84.300000000000,0.003950000000
83.600000000000,0.004660000000
83.000000000000,0.005100000000
82.300000000000,0.005960000000
81.800000000000,0.006520000000
80.600000000000,0.008440000000
79.900000000000,0.009890000000
79.400000000000,0.010900000000
78.200000000000,0.013800000000
77.600000000000,0.015600000000
77.100000000000,0.017100000000
76.100000000000,0.020700000000
75.500000000000,0.022800000000
75.100000000000,0.024400000000
74.200000000000,0.028500000000
73.700000000000,0.031300000000
73.300000000000,0.033300000000
72.500000000000,0.038700000000
72.100000000000,0.042200000000
71.800000000000,0.044500000000
71.100000000000,0.051000000000
70.800000000000,0.054500000000
70.500000000000,0.056800000000
69.700000000000,0.066900000000
68.800000000000,0.077000000000
68.000000000000,0.090400000000
67.400000000000,0.104000000000
67.300000000000,0.107000000000
66.800000000000,0.119000000000
66.400000000000,0.135000000000
66.000000000000,0.146000000000
137.100000000000,0.000000000688
135.200000000000,0.000000001270
133.300000000000,0.000000002320
131.400000000000,0.000000003790
129.500000000000,0.000000007410
127.600000000000,0.000000013400
125.700000000000,0.000000027300
123.800000000000,0.000000053500
121.900000000000,0.000000113000
120.000000000000,0.000000231000
118.100000000000,0.000000447000
116.200000000000,0.000000827000
114.300000000000,0.000001500000
112.400000000000,0.000002630000
110.500000000000,0.000004420000
108.600000000000,0.000008090000
106.700000000000,0.000013000000
104.800000000000,0.000021300000
102.900000000000,0.000035100000
101.000000000000,0.000056900000
99.100000000000,0.000101000000
97.200000000000,0.000176000000
95.300000000000,0.000278000000
93.400000000000,0.000467000000
91.600000000000,0.000841000000
89.700000000000,0.001340000000
87.900000000000,0.002150000000
86.000000000000,0.003240000000
84.300000000000,0.004590000000
82.500000000000,0.006640000000
80.900000000000,0.009370000000
79.300000000000,0.012900000000
77.900000000000,0.017300000000
76.600000000000,0.023100000000
75.500000000000,0.029800000000
74.400000000000,0.036500000000
73.600000000000,0.043500000000
72.800000000000,0.049600000000
72.100000000000,0.054500000000
71.500000000000,0.060100000000
128.300000000000,0.000000106000
127.000000000000,0.000000147000
125.800000000000,0.000000156000
124.600000000000,0.000000175000
123.400000000000,0.000000192000
122.200000000000,0.000000261000
121.000000000000,0.000000376000
119.800000000000,0.000000568000
118.600000000000,0.000000725000
117.400000000000,0.000001220000
116.200000000000,0.000001530000
115.000000000000,0.000001750000
113.800000000000,0.000002070000
112.600000000000,0.000002820000
111.400000000000,0.000003610000
110.200000000000,0.000005060000
109.000000000000,0.000006770000
107.900000000000,0.000008960000
106.700000000000,0.000011800000
105.500000000000,0.000015800000
104.300000000000,0.000022300000
103.100000000000,0.000028600000
101.900000000000,0.000038200000
100.700000000000,0.000054100000
99.500000000000,0.000077900000
98.300000000000,0.000112000000
97.100000000000,0.000164000000
95.900000000000,0.000243000000
94.800000000000,0.000349000000
93.600000000000,0.000448000000
92.400000000000,0.000587000000
91.200000000000,0.000793000000
90.100000000000,0.001020000000
88.900000000000,0.001340000000
87.800000000000,0.001710000000
86.700000000000,0.002260000000
85.600000000000,0.003120000000
84.500000000000,0.004180000000
83.400000000000,0.005310000000
82.400000000000,0.006610000000
81.500000000000,0.008070000000
81.000000000000,0.008870000000
80.100000000000,0.010600000000
79.300000000000,0.012300000000
78.500000000000,0.014300000000
77.700000000000,0.016600000000
77.000000000000,0.019200000000
76.400000000000,0.021700000000
75.800000000000,0.024200000000
75.300000000000,0.026500000000
74.800000000000,0.028300000000
74.400000000000,0.031300000000
74.000000000000,0.033900000000
73.600000000000,0.037100000000
73.300000000000,0.039500000000
72.900000000000,0.042400000000
72.600000000000,0.044200000000
72.400000000000,0.045900000000
72.100000000000,0.047300000000
71.900000000000,0.049100000000
71.700000000000,0.051000000000
71.500000000000,0.053300000000
71.300000000000,0.055400000000
71.100000000000,0.057800000000
70.900000000000,0.059400000000
70.800000000000,0.061200000000
70.600000000000,0.063400000000
70.500000000000,0.066400000000
170.000000000000,0.000000000002
166.000000000000,0.000000000004
162.000000000000,0.000000000006
158.000000000000,0.000000000010
154.000000000000,0.000000000020
150.000000000000,0.000000000038
146.000000000000,0.000000000083
142.000000000000,0.000000000201
61.262000000000,0.368700000000
60.395000000000,0.423000000000
59.550000000000,0.484300000000
58.835000000000,0.538200000000
58.119000000000,0.591600000000
57.439000000000,0.648700000000
56.768000000000,0.710100000000
56.204000000000,0.761200000000
55.564000000000,0.826000000000
55.053000000000,0.877500000000
54.424000000000,0.948200000000
53.929000000000,1.003000000000
53.368000000000,1.071000000000
52.914000000000,1.126000000000
52.373000000000,1.197000000000
51.886000000000,1.263000000000
51.424000000000,1.328000000000
50.968000000000,1.394000000000
50.505000000000,1.466000000000
50.106000000000,1.527000000000
49.659000000000,1.602000000000
49.233000000000,1.683000000000
48.824000000000,1.765000000000
48.684000000000,1.790000000000
48.278000000000,1.868000000000
47.876000000000,1.950000000000
47.525000000000,2.024000000000
47.147000000000,2.103000000000
46.763000000000,2.188000000000
46.393000000000,2.272000000000
46.056000000000,2.352000000000
45.698000000000,2.439000000000
45.366000000000,2.521000000000
45.040000000000,2.609000000000
44.725000000000,2.704000000000
