ALT-KM,FCORR
66.000000000000,78.640000000000
65.000000000000,78.570000000000
64.000000000000,58.620000000000
63.000000000000,42.750000000000
62.000000000000,38.090000000000
61.000000000000,31.310000000000
60.000000000000,19.890000000000
59.000000000000,14.010000000000
58.000000000000,12.370000000000
57.000000000000,12.080000000000
56.000000000000,11.670000000000
55.000000000000,11.510000000000
54.000000000000,11.510000000000
53.000000000000,13.830000000000
52.000000000000,18.600000000000
51.000000000000,27.590000000000
50.500000000000,31.240000000000
50.000000000000,30.240000000000
49.500000000000,29.000000000000
49.000000000000,27.390000000000
48.500000000000,25.050000000000
48.000000000000,18.300000000000
47.500000000000,14.870000000000
47.000000000000,13.300000000000
46.500000000000,16.200000000000
46.000000000000,17.100000000000
45.000000000000,15.010000000000
44.000000000000,13.030000000000
43.000000000000,10.910000000000
42.000000000000,8.060000000000
41.000000000000,7.640000000000
40.000000000000,6.170000000000
39.000000000000,3.840000000000
38.000000000000,4.990000000000
37.000000000000,6.460000000000
36.000000000000,9.160000000000
35.000000000000,10.360000000000
34.000000000000,8.910000000000
33.000000000000,8.990000000000
32.000000000000,8.920000000000
31.000000000000,8.630000000000
30.000000000000,6.740000000000
29.000000000000,7.520000000000
28.000000000000,8.450000000000
27.000000000000,8.590000000000
26.000000000000,8.790000000000
25.000000000000,9.050000000000
24.000000000000,9.740000000000
23.000000000000,11.680000000000
22.000000000000,12.780000000000
21.000000000000,12.660000000000
20.000000000000,14.910000000000
19.000000000000,14.550000000000
18.000000000000,17.030000000000
17.000000000000,17.400000000000
16.000000000000,17.610000000000
15.000000000000,17.830000000000
14.000000000000,18.870000000000
13.000000000000,19.740000000000
